image_index,global_mse,global_psnr,global_ssim,global_ms_ssim,global_dists,global_gmsd,full_lpips,patch_ssim_mean,patch_ssim_median,patch_ssim_p10,patch_ssim_bottom10_mean,patch_ssim_min,ssim_tail_gap,patch_lpips_top10_mean,patch_lpips_max,patch_mse_top25,patch_mse_p95,top25_local_psnr,gini,cv,top10_over_mean,top10_energy_share,patch_mse_p99,ciede2000_global,ciede2000_top10,ber100,ber70,ber50,ber40,ber30,split
0,0.0001879480405477807,37.25962197663509,0.9771036505699158,0.9923738241195679,nan,nan,0.0022706398740410805,0.972619891166687,0.9766342639923096,0.9603058397769928,0.9324977397918701,0.9087902903556824,0.04413652420043945,0.0008790435967966914,0.001045175245963037,0.0002334446326131001,0.00024543969266233034,36.318161069690305,0.10356722153959265,0.18146287882180476,1.3199111764446536,0.1649888970555817,0.0002517637076380197,4.115737844620071,5.518858038903019,0.0,0.0,0.0125,0.0375,0.1125,validation
1,0.00044605767470784485,33.50608983915734,0.9731804728507996,0.9908102750778198,nan,nan,0.002375135663896799,0.9634696245193481,0.9651384353637695,0.9559409320354462,0.9512538909912109,0.9476787447929382,0.013884544372558594,0.0009027742780745029,0.0009397139074280858,0.0004990309826098382,0.0005034222413087264,33.01872490130557,0.05132215895223419,0.0908929625625926,1.1338709502529032,0.1417338687816129,0.0005090613412903622,2.9719284251189038,4.656973111156873,0.0,0.0,0.0125,0.05,0.11875,validation
2,0.0004637812962755561,33.33686769902664,0.9491227865219116,0.9815540313720703,nan,nan,0.0030186364892870188,0.9384235739707947,0.94090336561203,0.9262182116508484,0.916971743106842,0.9102041721343994,0.02393162250518799,0.0014482061378657818,0.0017345997039228678,0.0006805674638599157,0.0007292291411431506,31.671288172206108,0.17619054545028537,0.31599123061105605,1.5826132239203554,0.19782665299004443,0.0007406465854728594,2.9477617801983342,5.811949258609463,0.0,0.0,0.015625,0.04375,0.109375,validation
3,0.0002552014484535903,35.93116865007238,0.9813546538352966,0.9936814308166504,nan,nan,0.0027014652732759714,0.973976194858551,0.9753040671348572,0.9637127816677094,0.9598437547683716,0.9588689804077148,0.015460312366485596,0.002015975071117282,0.002517562359571457,0.0003121410554740578,0.0003141367924399674,35.056491054352904,0.08905527853227832,0.16071320943263245,1.2691334166210027,0.15864167707762533,0.00033753173192963004,3.7822745162266074,5.177228593902253,0.0,0.0,0.015625,0.04375,0.1125,validation
4,0.000186049728654325,37.30370959042153,0.9704079031944275,0.9902395009994507,nan,nan,0.0011014065239578485,0.9660893678665161,0.9716508388519287,0.9354110658168793,0.9266878366470337,0.9262091517448425,0.04496300220489502,0.00048621976748108864,0.0005397236673161387,0.00022945083037484437,0.00023518569287261926,36.39310366269343,0.09025652232536177,0.16143222545723868,1.2918053576738475,0.16147566970923094,0.00024755615086178293,3.6887283571912803,5.224047722420394,0.0,0.0,0.0125,0.034375,0.078125,validation
5,0.00023160962155088782,36.352434030634996,0.9464960098266602,0.983007550239563,nan,nan,0.0015891303773969412,0.9377788305282593,0.9351433515548706,0.9025914072990417,0.8946298956871033,0.8887147903442383,0.040513455867767334,0.0005930946208536625,0.0007007613312453032,0.0002709070104174316,0.0002757009569904767,35.67179756331864,0.0698260440610512,0.1238152228528836,1.2185584782797303,0.1523198097849663,0.00029137034871382637,3.1889773712460965,4.960398965228944,0.0,0.0,0.015625,0.05625,0.084375,validation
6,0.00037719798274338245,34.23430638537467,0.9472788572311401,0.9818159341812134,nan,nan,0.004012768156826496,0.9387015104293823,0.9534077644348145,0.8939563035964966,0.877759575843811,0.8635143637657166,0.07564818859100342,0.0011071753688156605,0.0012281874660402536,0.0005612762761302292,0.0005772015720140189,32.50823314030947,0.20374218870800445,0.36028747271490547,1.5639204396399378,0.19549005495499222,0.0006076961231883615,3.2251188602206184,5.256278470888907,0.0,0.0,0.00625,0.021875,0.065625,validation
7,0.00022562994854524732,36.466032556430015,0.927220344543457,0.9750139117240906,nan,nan,0.002733173780143261,0.9195331335067749,0.9250977039337158,0.8671791255474091,0.8575407862663269,0.8521553874015808,0.06755691766738892,0.0012952329125255346,0.0015586375957354903,0.00027279890491627157,0.00027771262102760375,35.64157377379836,0.09556788588136729,0.17796298358956336,1.304158272222944,0.163019784027868,0.0003174195124302059,2.986476404917198,4.954276342239081,0.0,0.0,0.0125,0.05,0.128125,validation
8,0.00025166283012367785,35.991809237612685,0.9610457420349121,0.9863693118095398,nan,nan,0.001744155422784388,0.9552212357521057,0.9579037427902222,0.9406452775001526,0.9373971223831177,0.9355435371398926,0.020506620407104492,0.000907720357645303,0.0010476810857653618,0.0003227022534701973,0.000334155629388988,34.911980018528205,0.11558129417422651,0.2037492380556272,1.3367203821887965,0.16709004777359956,0.0003395488252863288,3.229542762936262,5.248635780226309,0.0,0.0,0.009375,0.034375,0.103125,validation
9,0.00019107891421299428,37.18787235217053,0.9554192423820496,0.985069215297699,nan,nan,0.0018919841386377811,0.9474222660064697,0.9576373100280762,0.9121343493461609,0.9068251848220825,0.9022021293640137,0.05081212520599365,0.0008541765273548663,0.001010299427434802,0.00022456844453699887,0.0002262346570205409,36.48651269117533,0.07133740898973832,0.12732568795587754,1.2155510642955272,0.1519438830369409,0.0002407102823781315,3.2820466885798396,5.333376323050384,0.0,0.0,0.009375,0.04375,0.13125,validation
